OFFENSE_CODE_GROUP	OFFENSE_DESCRIPTION	OCCURRED_ON_DATE	YEAR	MONTH	DAY_OF_WEEK	HOUR	STREET
Disorderly Conduct	AFFRAY	29-06-2015 15:17	2015	6	Monday	15	ABBOT ST
Other	ABDUCTION - INTICING	25-10-2016 06:22	2016	10	Tuesday	6	ADRIAN ST
Disorderly Conduct	AFFRAY	16-08-2017 06:24	2017	8	Wednesday	6	ALBANY ST
Other	ABDUCTION - INTICING	19-02-2018 16:24	2018	2	Monday	16	ALDRICH ST
Disorderly Conduct	AFFRAY	06-11-2017 11:54	2017	11	Monday	11	AMERICAN LEGION HWY
Disorderly Conduct	AFFRAY	28-05-2016 06:58	2016	5	Saturday	6	AMERICAN LEGION HWY
Disorderly Conduct	AFFRAY	11-10-2015 02:06	2015	10	Sunday	2	ANTHONY RIP VALENTI WAY
Disorderly Conduct	AFFRAY	16-04-2018 18:54	2018	4	Monday	18	ATKINSON ST
Disorderly Conduct	AFFRAY	20-12-2017 02:37	2017	12	Wednesday	2	ATLANTIC AVE
Disorderly Conduct	AFFRAY	20-12-2017 00:58	2017	12	Wednesday	0	ATLANTIC AVE
Other	ABDUCTION - INTICING	01-01-2018 16:53	2018	1	Monday	16	B ST
Disorderly Conduct	AFFRAY	01-10-2016 18:17	2016	10	Saturday	18	BEACH ST
Disorderly Conduct	AFFRAY	10-10-2017 15:32	2017	10	Tuesday	15	BEACON ST
Disorderly Conduct	AFFRAY	10-01-2018 02:15	2018	1	Wednesday	2	BENNINGTON ST
Disorderly Conduct	AFFRAY	08-01-2018 02:28	2018	1	Monday	2	BENNINGTON ST
Disorderly Conduct	AFFRAY	04-02-2017 09:30	2017	2	Saturday	9	BENNINGTON ST
Other	ABDUCTION - INTICING	25-08-2015 14:00	2015	8	Tuesday	14	BERKELEY ST
Disorderly Conduct	AFFRAY	07-05-2016 15:04	2016	5	Saturday	15	BERNARD ST
Other	ABDUCTION - INTICING	03-07-2018 18:37	2018	7	Tuesday	18	BLUE HILL AVE
Disorderly Conduct	AFFRAY	01-02-2017 10:21	2017	2	Wednesday	10	BLUE HILL AVE
Disorderly Conduct	AFFRAY	19-06-2016 18:30	2016	6	Sunday	18	BORDER ST
Disorderly Conduct	AFFRAY	19-08-2016 21:51	2016	8	Friday	21	BOW ST
Disorderly Conduct	AFFRAY	23-06-2016 16:58	2016	6	Thursday	16	BOWER ST
Disorderly Conduct	AFFRAY	14-09-2017 20:22	2017	9	Thursday	20	BOYLSTON ST
Disorderly Conduct	AFFRAY	13-05-2017 13:37	2017	5	Saturday	13	BOYLSTON ST
